employee_id,filename,timestamp,instruction,blur_score,brightness_score,face_width,face_height
NV001,dataset_inhouse\NV001\NV001_000_20260608_114440_332980.jpg,2026-06-08T11:44:40.334993,Nhin thang,122.29,111.97,129,184
NV001,dataset_inhouse\NV001\NV001_001_20260608_114441_395977.jpg,2026-06-08T11:44:41.434840,Nhin thang,330.96,118.38,174,245
NV001,dataset_inhouse\NV001\NV001_002_20260608_114442_481750.jpg,2026-06-08T11:44:42.481750,Nhin thang,376.24,124.9,173,241
NV001,dataset_inhouse\NV001\NV001_003_20260608_114443_517962.jpg,2026-06-08T11:44:43.541499,Nhin thang,335.46,110.75,177,249
NV001,dataset_inhouse\NV001\NV001_004_20260608_114444_519291.jpg,2026-06-08T11:44:44.544183,Nhin thang,313.05,110.05,174,256
NV001,dataset_inhouse\NV001\NV001_005_20260608_114445_623347.jpg,2026-06-08T11:44:45.623347,Nhin thang,375.34,112.37,183,260
NV001,dataset_inhouse\NV001\NV001_006_20260608_114446_758949.jpg,2026-06-08T11:44:46.758949,Nhin thang,358.25,113.25,184,259
NV001,dataset_inhouse\NV001\NV001_007_20260608_114447_765476.jpg,2026-06-08T11:44:47.768886,Quay mat sang trai,345.83,113.25,185,259
NV001,dataset_inhouse\NV001\NV001_008_20260608_114448_807049.jpg,2026-06-08T11:44:48.807049,Quay mat sang trai,329.84,113.13,183,255
NV001,dataset_inhouse\NV001\NV001_009_20260608_114449_902022.jpg,2026-06-08T11:44:49.902022,Quay mat sang trai,318.86,113.37,179,256
NV001,dataset_inhouse\NV001\NV001_010_20260608_114450_970792.jpg,2026-06-08T11:44:50.970792,Quay mat sang trai,315.17,112.78,180,255
NV001,dataset_inhouse\NV001\NV001_011_20260608_114452_100826.jpg,2026-06-08T11:44:52.126021,Quay mat sang trai,279.75,112.77,179,257
NV001,dataset_inhouse\NV001\NV001_012_20260608_114453_128181.jpg,2026-06-08T11:44:53.128181,Quay mat sang trai,301.83,114.27,179,258
NV001,dataset_inhouse\NV001\NV001_013_20260608_114454_156090.jpg,2026-06-08T11:44:54.156090,Quay mat sang trai,305.35,114.18,180,257
NV001,dataset_inhouse\NV001\NV001_014_20260608_114455_253761.jpg,2026-06-08T11:44:55.253761,Quay mat sang phai,225.14,118.33,176,256
NV001,dataset_inhouse\NV001\NV001_015_20260608_114456_351907.jpg,2026-06-08T11:44:56.369807,Quay mat sang phai,284.24,116.37,180,256
